uMH01FxjlMk,개발자의 M1 Max 맥북프로 6개월 사용기,노마드 코더 Nomad Coders,2022-07-17,1

8IqQQg13Xbc,엔비디아 떡상의 이유! CPU와 GPU의 진짜 차이점은?!,노마드 코더 Nomad Coders,2022-02-23,1

olz_mEIlQUU,이딴게.. 머신러닝…?,노마드 코더 Nomad Coders,2022-02-16,1

Y7PHBSqDfvE,앞으로 대세는 스벨트? 10분 완벽 정리해드림.,노마드 코더 Nomad Coders,2022-01-30,1

4DxHX95Lq2U,5분만에 제대로 설계하는 ⭐️ REST API,노마드 코더 Nomad Coders,2021-10-10,1

nNdj0cE1BSw,2021년 개발 트렌드는 과연 어떻게 변화했나?,노마드 코더 Nomad Coders,2021-08-08,1

cdqULOmORVU,프로처럼 VSC 세팅하기 #Shorts,노마드 코더 Nomad Coders,2021-07-22,1

HraOg7W3VAM,개발자라면 꼭 알아야할 Hash Table 의 모든 것!,노마드 코더 Nomad Coders,2021-07-18,1

Bor_CRWEIXo,"어? 재밌네? 정렬 알고리즘, 한방에 이해하기!",노마드 코더 Nomad Coders,2021-07-04,1

BEVnxbxBqi8,개발자라면 이제는 알아야하는 Big O 설명해드림. 10분컷.,노마드 코더 Nomad Coders,2021-06-27,1

WjIlVlmmNqs,검색 알고리즘? 기초개념 잡아드림. 10분 순삭.,노마드 코더 Nomad Coders,2021-06-13,1

NFETSCJON2M,Array 배열 기초개념? 10분안에 정리해줌!,노마드 코더 Nomad Coders,2021-06-06,1

9TyyMtlk5i4,개발자라면 &quot;무조건&quot; 알고리즘 공부를 해야할까?,노마드 코더 Nomad Coders,2021-05-30,1

I3HSkyI6EQM,아두이노 vs 라즈베리파이 차이점 알려드림. 30초컷. #Shorts,노마드 코더 Nomad Coders,2021-02-22,1

Gom6eTpgbOw,M1 맥북을 사야할까?,노마드 코더 Nomad Coders,2020-12-14,1

QTgRNer2epE,민트 초코 논란! 자연어 처리(NLP)로 종결해드림.,노마드 코더 Nomad Coders,2020-11-10,1

1mlk9CZTV0M,집에서 일하는 개발자의 하루 💻 풀스택 | 헬창 | 1일1식,노마드 코더 Nomad Coders,2020-10-20,1

63bdCwJmRP4,트레이딩 봇을 만들고 100만원을 넣었다.,노마드 코더 Nomad Coders,2020-10-11,1

Q_9cFgzZr8Q,SQL vs NoSQL 5분컷 설명!,노마드 코더 Nomad Coders,2020-08-25,1

O9flTs5Wl9U,인공지능 GPT-3 열풍! 과장 아닐까?,노마드 코더 Nomad Coders,2020-08-18,1

kH---FMbPak,핵 시설을 해킹한 역대급 바이러스!?,노마드 코더 Nomad Coders,2020-08-04,1

ao0VtQnBBXA,왜 도메인을 돈 주고 사야해? 도메인 시스템 6분 설명!,노마드 코더 Nomad Coders,2020-07-21,1

r1zw_eM2aiQ,인터넷 익스플로러! 처참한 몰락의 이유는?,노마드 코더 Nomad Coders,2020-07-07,1

Jz8Sx1XYb04,깨끗한 코드를 위한 5가지 팁,노마드 코더 Nomad Coders,2020-06-23,1

t9ccIykXTCM,라이브러리? 프레임워크? 차이점 아직도 모름? 5분 순삭.,노마드 코더 Nomad Coders,2020-06-17,1

nBCLR5gNs9g,미래는 정말 원격근무의 시대일까?,노마드 코더 Nomad Coders,2020-05-27,1

